Parcours;Formation;Formation Slug;P1;P2;P3;Demande
Renforcement Anglais - P3;Anglais ;toeic;Niveau A2 - TOEIC;Niveau B1 - TOEIC;Niveau B2 - TOEIC;Renforcement Anglais - P3
Perfectionnement Anglais - P3;Anglais ;toeic;Niveau B1 - TOEIC;Niveau B2 - TOEIC;Niveau C1 - TOEIC;Perfectionnement Anglais - P3
Expertise Anglais - P3;Anglais ;toeic;Niveau B2 - TOEIC;Niveau C1 - TOEIC;;Expertise Anglais - P3
Essentiels Digitales Compétences & Word - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Word Basique (TOSA);Excel Basique (TOSA);Essentiels Digitales Compétences & Word - P3
Essentiels Digitales Compétences & Word - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Word Basique (TOSA);PowerPoint Basique (TOSA);Essentiels Digitales Compétences & Word - P3
Essentiels Digitales Compétences & Word - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Word Basique (TOSA);Outlook Basique (TOSA);Essentiels Digitales Compétences & Word - P3
Essentiels Digitales Compétences & Word - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Word Basique (TOSA);Word Opérationnel (ICDL);Essentiels Digitales Compétences & Word - P3
Essentiels Digitales Compétences & Excel - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);Word Basique (TOSA);Essentiels Digitales Compétences & Excel - P3
Essentiels Digitales Compétences & Excel - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);PowerPoint Basique (TOSA);Essentiels Digitales Compétences & Excel - P3
Essentiels Digitales Compétences & Excel - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);Outlook Basique (TOSA);Essentiels Digitales Compétences & Excel - P3
Essentiels Digitales Compétences & Excel - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);Excel Opérationnel (ICDL);Essentiels Digitales Compétences & Excel - P3
Essentiels Digitales Compétences & PPT - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);PowerPoint Basique (TOSA);Excel Basique (TOSA);Essentiels Digitales Compétences & PPT - P3
Essentiels Digitales Compétences & PPT - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);PowerPoint Basique (TOSA);Word Basique (TOSA);Essentiels Digitales Compétences & PPT - P3
Essentiels Digitales Compétences & PPT - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);PowerPoint Basique (TOSA);Outlook Basique (TOSA);Essentiels Digitales Compétences & PPT - P3
Essentiels Digitales Compétences & PPT - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);PowerPoint Basique (TOSA);PowerPoint Opérationnel (ICDL);Essentiels Digitales Compétences & PPT - P3
Renforcement Digital Compétence - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Outlook Opérationnel (TOSA);Excel Basique (TOSA);Renforcement Digital Compétence - P3
Renforcement Digital Compétence - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Outlook Opérationnel (TOSA);PowerPoint Basique (TOSA);Renforcement Digital Compétence - P3
Renforcement Digital Compétence - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Outlook Opérationnel (TOSA);Word Basique (TOSA);Renforcement Digital Compétence - P3
Perfectionnement Digitales Compétences & Outils Coll. - P3;Digitales Compétences;digcomp;Digitales Compétences Opérationnel (TOSA);Outils Collaboratifs (ICDL);Google Sheets Opérationnel (ICDL);Perfectionnement Digitales Compétences & Outils Coll. - P3
Perfectionnement Digitales Compétences & Outils Coll. - P3;Digitales Compétences;digcomp;Digitales Compétences Opérationnel (TOSA);Outils Collaboratifs (ICDL);Google Docs Opérationnel (ICDL);Perfectionnement Digitales Compétences & Outils Coll. - P3
Perfectionnement Digitales Compétences & Outils Coll. - P3;Digitales Compétences;digcomp;Digitales Compétences Opérationnel (TOSA);Outils Collaboratifs (ICDL);Google Slides Opérationnel (ICDL);Perfectionnement Digitales Compétences & Outils Coll. - P3
Essentiels Digitales Compétences 1 Outlook - P3;Digitales Compétences;digcomp;Digitales Compétences Basique (TOSA);Outlook Basique (TOSA);Excel Basique (TOSA) + PowerPoint Basique (TOSA);Essentiels Digitales Compétences 1 Outlook - P3
Renforcement Excel - P3;Excel;excel;Excel Basique (TOSA);Excel Opérationnel (ICDL);Word Basique (TOSA);Renforcement Excel - P3
Renforcement Excel - P3;Excel;excel;Excel Basique (TOSA);Excel Opérationnel (ICDL);PowerPoint Basique (TOSA);Renforcement Excel - P3
Renforcement Excel - P3;Excel;excel;Excel Basique (TOSA);Excel Opérationnel (ICDL);Outlook Basique (TOSA);Renforcement Excel - P3
Expertise Excel - P3;Excel;excel;Excel Opérationnel (ICDL);Excel Expert (TOSA);Word Basique (TOSA);Expertise Excel - P3
Expertise Excel - P3;Excel;excel;Excel Opérationnel (ICDL);Excel Expert (TOSA);PowerPoint Basique (TOSA);Expertise Excel - P3
Expertise Excel - P3;Excel;excel;Excel Opérationnel (ICDL);Excel Expert (TOSA);Outlook Opérationnel (ICDL);Expertise Excel - P3
Essentiels Digitales Compétences & Excel - P3;Excel;excel;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);Word Basique (TOSA) + PowerPoint Basique (TOSA);Essentiels Digitales Compétences & Excel - P3
Essentiels Digitales Compétences & Excel - P3;Excel;excel;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);Outils Collaboratifs Google Basique (TOSA);Essentiels Digitales Compétences & Excel - P3
;Excel;excel;Digitales Compétences Basique (TOSA);Excel Basique (TOSA);Excel Opérationnel (ICDL);
IA Générative & Excel - P3;Excel + IA;Excel-ia;Excel Opérationnel (TOSA);IA Générative (INKREA);;IA Générative & Excel - P3
Renforcement Français - P3;Français;voltaire;Voltaire Technique (2VOLT26);Voltaire Professionnel (3VOLT26);Voltaire Affaires (4VOLT26);Renforcement Français - P3
Perfectionnement VOLTAIRE : Français Professionnel & Français Affaires - P3;Français;voltaire;Voltaire Professionnel (3VOLT26);Voltaire Affaires (4VOLT26);Voltaire Affaires (4VOLT26);Perfectionnement VOLTAIRE : Français Professionnel & Français Affaires - P3
Création graphique + IA - P3;Gimp;gimp;Gimp Opérationnel (ICDL);Illustrator Opérationnel (TOSA);IA Générative (INKREA);Création graphique + IA - P3
Création visuels 3D - P3;Gimp;gimp;Gimp Opérationnel (ICDL);Illustrator Opérationnel (TOSA);SketchUp Opérationnel (ICDL);Création visuels 3D - P3
